Producer,Appellation,Cuvée / Wine,Region,Colour,Vintage,Format,Qty,Price/bottle,Price basis,Packaging / note
Domaine Leflaive,,Montrachet,Burgundy,White,1999,75cl,1,16790.399999999998,ex-VAT,OWC
Henri Boillot,,Corton Charlemagne Blanc,Burgundy,White,2017,75cl,57,262.34999999999997,ex-VAT,OWC
Petrus,,,Bordeaux,Red,2017,75cl,1,2571.03,ex-VAT,Loose
Domaine Faiveley,,Chambertin Clos De Beze Ouvrees Rodin,Burgundy,Red,2015,1.5L,2,1311.75,ex-VAT,OWC
Domaine Faiveley,,Latricieres Chambertin,Burgundy,Red,2018,75cl,12,183.645,ex-VAT,OWC
Francois Lamarche,,Grande Rue,Burgundy,Red,1993,75cl,3,393.525,ex-VAT,Loose
Raveneau,,Chablis Butteaux,Burgundy,White,2017,75cl,6,393.525,ex-VAT,OC
Joseph Drouhin,,Musigny,Burgundy,Red,2003,75cl,12,655.875,ex-VAT,OWC
Raveneau,,Chablis Clos,Burgundy,White,2017,75cl,2,1154.34,ex-VAT,Loose
d'Auvenay,,Meursault Narvaux Blanc,Burgundy,White,2009,75cl,1,6296.4,ex-VAT,Loose
d'Auvenay,,Bourgogne Aligote Sous Chatelet,Burgundy,White,2011,75cl,3,2413.62,ex-VAT,OWC
Francois Lamarche,,Grande Rue,Burgundy,Red,1995,75cl,6,419.76,ex-VAT,Loose
Bollinger,,La Grande Annee,Champagne,White,2012,75cl,6,104.94,ex-VAT,OC
Moet & Chandon,,Dom Perignon Lenny Kravitz Rose,Champagne,White,2006,75cl,39,341.055,ex-VAT,GB_OC
Comte Vogue,,Bonnes Mares,Burgundy,Red,2018,75cl,24,419.76,ex-VAT,OWC
Comte Vogue,,Bonnes Mares,Burgundy,Red,2018,75cl,18,419.76,ex-VAT,OWC
Comte Vogue,,Bonnes Mares,Burgundy,Red,2018,75cl,12,419.76,ex-VAT,OWC
Domaine Dujac,,Chambertin,Burgundy,Red,2016,1.5L,1,4984.65,ex-VAT,OWC
Macallan,,Golden Age of Travel (Airship),Speyside,,NV,70cl,1,66636.90000000001,ex-VAT,OC_OWC
d'Auvenay,,Puligny Montrachet Enseigneres,Burgundy,Red,2014,75cl,6,7870.5,ex-VAT,OWC
d'Auvenay,,Puligny Montrachet Enseigneres,Burgundy,Red,2014,75cl,12,7870.5,ex-VAT,OWC
Scarecrow,,Cabernet Sauvignon,California,Red,2017,75cl,3,629.64,ex-VAT,OWC
Raveneau,,Chablis Butteaux,Burgundy,White,2017,1.5L,3,944.46,ex-VAT,OC
Promontory,,Napa Blend,California,Red,2014,75cl,6,561.429,ex-VAT,OWC
Bollinger,,Vv Francaises,Champagne,White,2009,75cl,3,1049.3999999999999,ex-VAT,OC_OWC
Brugal,,1888,Dominican Republic,,NV,70cl,,13.642199999999999,ex-VAT,OC
Highland Park,,18YO,Scotland,,NV,70cl,90,76.08149999999999,ex-VAT,GB_OC
Highland Park,,21YO,Scotland,,NV,70cl,120,131.17499999999998,ex-VAT,GB_OC
Mouton Rothschild,,,Bordeaux,Red,1987,1.5L,1,787.05,ex-VAT,Loose
Drouhin Laroze,,Chambertin Clos De Beze,Burgundy,Red,2018,75cl,12,157.41,ex-VAT,OC
Casamigos,,Reposado,Jalisco,,NV,70cl,,22.5621,ex-VAT,OC
Louis Roederer,,Cristal Rose,Champagne,Rosé,2012,1.5L,12,813.2849999999999,ex-VAT,GB_OWC
Louis Roederer,,Cristal Rose,Champagne,Rosé,2012,1.5L,7,813.2849999999999,ex-VAT,GB_OC
Louis Roederer,,Cristal Rose,Champagne,Rosé,2012,1.5L,31,813.2849999999999,ex-VAT,OC_OWC
Louis Roederer,,Cristal Rose,Champagne,Rosé,2005,75cl,21,445.995,ex-VAT,GB_OC
Antinori,,Guado Al Tasso,Tuscany,Red,2015,75cl,42,120.68100000000003,ex-VAT,OWC
Comte Vogue,,Musigny Vv,Burgundy,Red,2018,75cl,6,524.6999999999999,ex-VAT,OC
Sassicaia,,,Tuscany,Red,2018,75cl,,209.88,ex-VAT,OWC
Sassicaia,,,Tuscany,Red,2018,75cl,,209.88,ex-VAT,OWC
Sassicaia,,,Tuscany,Red,2017,1.5L,12,419.76,ex-VAT,OWC
Petrus,,,Bordeaux,Red,2012,1.5L,9,4984.65,ex-VAT,OWC
Petrus,,,Bordeaux,Red,2013,1.5L,6,4827.24,ex-VAT,OWC
Petrus,,,Bordeaux,Red,2013,1.5L,1,4827.24,ex-VAT,OWC
Comte Vogue,,Musigny Vv,Burgundy,Red,2018,1.5L,3,1154.34,ex-VAT,OWC
Comte Vogue,,Musigny Vv,Burgundy,Red,2018,1.5L,3,1154.34,ex-VAT,OWC
Joseph Drouhin,,Musigny,Burgundy,Red,2018,75cl,3,944.46,ex-VAT,OWC
Ausone,,,Bordeaux,Red,2009,6L,1,5771.7,ex-VAT,OWC
Domaine Dujac,,Clos de la Roche,Burgundy,Red,2016,75cl,6,629.64,ex-VAT,OC
Anne Gros,,Richebourg,Burgundy,Red,2015,75cl,6,944.46,ex-VAT,OC
Lucien Le Moine,,Chambertin Clos De Beze,Burgundy,Red,2016,75cl,1,498.4649999999999,ex-VAT,OC
Jean-Jacques Confuron,,Romanee Saint Vivant,Burgundy,Red,2010,75cl,12,682.11,ex-VAT,OC
Domaine Jean-Louis Chave,,Ermitage Cathelin,Rhone,Red,1998,75cl,2,5771.7,ex-VAT,Loose
Harlan Estate,,,California,Red,2007,75cl,6,1416.69,ex-VAT,OWC
Keller Kiste,,Grossen Lagen,Rheinhessen,White,2014,9L,2,4197.599999999999,ex-VAT,OWC
Lucien Le Moine,,Clos Vougeot,Burgundy,Red,2016,75cl,6,246.60899999999998,ex-VAT,OC
Vougeraie,,Musigny,Burgundy,Red,2016,75cl,6,839.52,ex-VAT,OC
Maison Leroy,,Savigny Beaune Narbantons,Burgundy,Red,2015,75cl,12,498.4649999999999,ex-VAT,OC
Moet & Chandon,,Dom Perignon David Lynch Rose,Champagne,Rosé,2000,75cl,9,367.29,ex-VAT,GB_OC
Peter Michael,,Les Pavots,California,Red,2002,75cl,12,288.585,ex-VAT,OC
Pierre Yves Colin Morey,,Chevalier Montrachet Blanc,Burgundy,White,2017,75cl,1,1521.63,ex-VAT,Loose
Rene Engel,,Echezeaux,Burgundy,Red,2003,75cl,24,1783.98,ex-VAT,OC
Rene Engel,,Echezeaux,Burgundy,Red,2003,75cl,6,1783.98,ex-VAT,OC
Harlan Estate,,,California,Red,2015,75cl,24,1101.87,ex-VAT,OWC
Harlan Estate,,,California,Red,2015,75cl,3,1101.87,ex-VAT,OWC
Pierre Yves Colin Morey,,Batard Montrachet,Burgundy,White,2017,75cl,1,1049.3999999999999,ex-VAT,Loose
Pierre Yves Colin Morey,,Batard Montrachet,Burgundy,White,2017,75cl,2,1049.3999999999999,ex-VAT,Loose
Petrus,,,Bordeaux,Red,2007,1.5L,3,4984.65,ex-VAT,OWC
Weingut Keller,,Assortment,Rheinhessen,White,2015,9L,2,4197.599999999999,ex-VAT,OWC
Haut Brion,,,Bordeaux,Red,1945,75cl,2,15741.0,ex-VAT,Loose
Vincent Dauvissat,,Chablis Preuses,Burgundy,White,2018,75cl,6,262.34999999999997,ex-VAT,OC
Coche Dury,,Meursault Blanc,Burgundy,White,2018,75cl,6,787.05,ex-VAT,OC
Coche Dury,,Meursault Blanc,Burgundy,White,2018,75cl,36,787.05,ex-VAT,OC
Palmer,,,Bordeaux,Red,2019,75cl,18,183.645,ex-VAT,OWC
Domaine Leflaive,,Bienvenues Batard Montrachet,Burgundy,White,2005,1.5L,1,1993.8599999999997,ex-VAT,Loose
Ornellaia,,,Tuscany,Red,2018,75cl,,167.904,ex-VAT,OWC
Petrus,,,Bordeaux,Red,2017,1.5L,3,4879.71,ex-VAT,OWC
DRC,,La Tache,Burgundy,Red,2006,3L,1,28858.5,ex-VAT,OWC
La Mission Haut Brion Blanc,,,Bordeaux,White,2019,75cl,6,367.29,ex-VAT,OWC
Petrus,,,Bordeaux,Red,1989,3L,2,23873.85,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1989,3L,1,24660.9,ex-VAT,Loose
Sassicaia,,,Tuscany,Red,2012,3L,3,1574.1,ex-VAT,OWC
Domaine Leroy,,Romanee Saint Vivant,Burgundy,Red,2005,75cl,1,7240.859999999999,ex-VAT,Loose
DRC,,Romanee Conti,Burgundy,Red,2017,75cl,3,16790.399999999998,ex-VAT,OWC
Henri Boillot,,Puligny Montrachet Mouchere,Burgundy,White,2018,75cl,12,146.916,ex-VAT,OC
Henri Boillot,,Puligny Montrachet Mouchere,Burgundy,White,2018,75cl,,146.916,ex-VAT,OC
Bernard Dugat-Py,,Chambertin,Burgundy,Red,2012,75cl,6,1888.92,ex-VAT,OWC
Armand Rousseau,,Chambertin,Burgundy,Red,2018,75cl,6,2308.68,ex-VAT,OC
Joseph Drouhin,,Musigny,Burgundy,Red,2014,1.5L,3,1679.04,ex-VAT,OWC
Harlan Estate,,,California,Red,2014,1.5L,2,1574.1,ex-VAT,OWC
Moet & Chandon,,Dom Perignon Rose,Champagne,Rosé,1990,1.5L,3,1574.1,ex-VAT,Loose
Taittinger,,Comtes Champagne,Champagne,White,1970,75cl,1,787.05,ex-VAT,Loose
DRC,,Romanee Conti,Burgundy,Red,2001,75cl,1,16790.399999999998,ex-VAT,Loose
Latour,,,Bordeaux,Red,1982,75cl,12,1783.98,ex-VAT,OWC
Latour,,,Bordeaux,Red,1982,75cl,36,2203.74,ex-VAT,OWC
Lafleur,,,Bordeaux,Red,2000,1.5L,1,3672.9,ex-VAT,Loose
Lafleur,,,Bordeaux,Red,2005,75cl,2,1469.16,ex-VAT,Loose
Francois Lamarche,,Grande Rue,Burgundy,Red,2018,75cl,6,314.82,ex-VAT,OWC
Giacomo Conterno,,Barolo Riserva Monfortino,Piedmont,Red,2014,75cl,18,839.52,ex-VAT,OWC
Domaine Dujac,,Chambertin,Burgundy,Red,2018,1.5L,3,4722.3,ex-VAT,OWC
Paolo Scavino,,Barolo Bric Fiasc,Piedmont,Red,2016,75cl,96,73.458,ex-VAT,OC
Comte Vogue,,Bonnes Mares,Burgundy,Red,2018,1.5L,4,839.52,ex-VAT,OWC
Rayas,,Chateauneuf Du Pape,Rhone,Red,2000,75cl,1,1049.3999999999999,ex-VAT,Loose
Ceretto,,Barolo Prapo,Piedmont,Red,2016,75cl,18,78.705,ex-VAT,OWC
d'Auvenay,,Puligny Montrachet Enseigneres,Burgundy,White,2014,75cl,1,6821.1,ex-VAT,Loose
Domaine Dujac,,Romanee Saint Vivant,Burgundy,Red,2018,75cl,6,1836.45,ex-VAT,OC
GD Vajra,,Barolo Bricco Viole,Piedmont,Red,2016,75cl,6,62.964,ex-VAT,OWC
Anne-Francoise Gros,,Richebourg,Burgundy,Red,1995,1.5L,1,1783.98,ex-VAT,Loose
Domaine Ponsot,,Clos Roche Vv,Burgundy,Red,1999,75cl,12,682.11,ex-VAT,OC_OWC
Anne-Francoise Gros,,Richebourg,Burgundy,Red,2005,1.5L,1,1941.39,ex-VAT,Loose
Comte Liger Belair,,Vosne Romanee Reignots,Burgundy,Red,2009,75cl,12,1993.8599999999997,ex-VAT,OWC
Gros Frere et Soeur,,Richebourg,Burgundy,Red,2018,75cl,6,577.17,ex-VAT,OC
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,2018,75cl,6,2098.7999999999997,ex-VAT,OC
Domaine Leflaive,,Montrachet,Burgundy,White,2000,75cl,1,14166.9,ex-VAT,Loose
Jacques Selosse,,Millesime,Champagne,White,2009,75cl,6,1259.28,ex-VAT,OC
Arnaud Ente,,Meursault Blanc,Burgundy,White,1999,75cl,12,629.64,ex-VAT,Loose
Macallan,,Sherry Oak 25YO,Scotland,,2020,70cl,1,2093.553,ex-VAT,OC_OWC
Scarecrow,,Cabernet Sauvignon,California,Red,2015,75cl,6,629.64,ex-VAT,OWC
Harlan Estate,,,California,Red,2015,1.5L,3,2308.68,ex-VAT,OWC
Sine Qua Non,,"Next of Kyn ""Cumulus Vineyard"" Collector",California,Red,2015,3.75L,1,1574.1,ex-VAT,OWC
Joseph Drouhin,,Montrachet Marquis Laguiche,Burgundy,White,2018,75cl,90,734.58,ex-VAT,OWC
Domaine Leflaive,,Bienvenues Batard Montrachet,Burgundy,White,2012,75cl,3,839.52,ex-VAT,OWC
Domaine Dujac,,Clos de la Roche,Burgundy,Red,2013,1.5L,3,1154.34,ex-VAT,OC
Lambrays,,Clos Lambrays,Burgundy,Red,1999,1.5L,36,629.64,ex-VAT,OWC
Paul Jaboulet Aine,,Hermitage Chapelle,Rhone,Red,1990,75cl,12,577.17,ex-VAT,OWC
Paul Jaboulet Aine,,Hermitage Chapelle,Rhone,Red,1990,75cl,6,682.11,ex-VAT,OC_OWC
Domaine Leroy,,Bourgogne Rouge,Burgundy,Red,2004,75cl,4,3148.2,ex-VAT,Loose
Salon,,Mesnil,Champagne,White,2007,75cl,1,787.05,ex-VAT,Loose
Meo Camuzet,,Clos Vougeot,Burgundy,Red,2018,75cl,12,278.09099999999995,ex-VAT,OC
Bartolo Mascarello,,Barolo,Piedmont,Red,2016,75cl,6,367.29,ex-VAT,OC
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,2018,1.5L,1,4617.36,ex-VAT,Loose
Trapet Pere et Fils,,Chambertin,Burgundy,Red,2018,75cl,12,393.525,ex-VAT,OC
Krug,,Vintage Brut,Champagne,White,2002,1.5L,1,996.9299999999998,ex-VAT,OC
Jean Grivot,,Richebourg,Burgundy,Red,2017,75cl,9,996.9299999999998,ex-VAT,OWC
Jean Grivot,,Richebourg,Burgundy,Red,2017,75cl,9,944.46,ex-VAT,OC_OWC
Domaine Jean-Louis Chave,,Ermitage Cathelin,Rhone,Red,2000,75cl,1,5771.7,ex-VAT,Loose
Harlan Estate,,,California,Red,2012,1.5L,1,2098.7999999999997,ex-VAT,OWC
Comte Liger Belair,,Romanee,Burgundy,Red,2017,75cl,6,4092.66,ex-VAT,OWC
Domaine Dujac,,Chambertin,Burgundy,Red,2005,75cl,1,2780.91,ex-VAT,Loose
DRC,,Grands Echezeaux,Burgundy,Red,2005,75cl,6,3148.2,ex-VAT,OWC
DRC,,Grands Echezeaux,Burgundy,Red,2005,75cl,6,3148.2,ex-VAT,OWC
Louis Roederer,,Cristal,Champagne,White,1985,1.5L,1,1836.45,ex-VAT,Loose
Lafite Rothschild,,,Bordeaux,Red,1950,75cl,1,996.9299999999998,ex-VAT,Loose
Giodo,,Brunello di Montalcino,Tuscany,Red,2016,75cl,36,94.44600000000001,ex-VAT,OC_OWC
Livio Sassetti (Pertimali),,Brunello Montalcino,Tuscany,Red,2016,75cl,60,52.47,ex-VAT,OC
Henri Bonneau,,Chateauneuf Du Pape Reserve Celestins,Rhone,Red,2015,75cl,12,288.585,ex-VAT,OC
Moet & Chandon,,Dom Perignon Rose,Champagne,Rosé,2003,75cl,48,288.585,ex-VAT,OC
Moet & Chandon,,Dom Perignon Rose,Champagne,Rosé,2003,75cl,,288.585,ex-VAT,GB_OC
Moet & Chandon,,Dom Perignon Rose,Champagne,Rosé,2003,75cl,3,288.585,ex-VAT,GB
Comte Liger Belair,,Romanee,Burgundy,Red,2012,75cl,3,3987.7199999999993,ex-VAT,OWC
Domaine Ponsot,,Assortment Case,Burgundy,,2005,9L,1,6296.4,ex-VAT,OWC
Moillard-Grivot,,Clos Vougeot,Burgundy,Red,1934,75cl,60,734.58,ex-VAT,OC
Krug,,Clos du Mesnil,Champagne,White,2006,75cl,1,1154.34,ex-VAT,OWC
Krug,,Clos du Mesnil,Champagne,White,2006,75cl,1,996.9299999999998,ex-VAT,OC_OWC
DRC,,La Tache,Burgundy,Red,2017,75cl,4,4722.3,ex-VAT,OWC
Domaine Dujac,,Romanee Saint Vivant,Burgundy,Red,2014,3L,1,7345.8,ex-VAT,OWC
Jacques Frederic Mugnier,,Musigny,Burgundy,Red,2005,75cl,3,3935.25,ex-VAT,OWC
Joseph Drouhin,,Musigny,Burgundy,Red,2013,1.5L,6,1364.22,ex-VAT,Loose
Clinet,,,Bordeaux,Red,1989,75cl,18,603.405,ex-VAT,Loose
Guigal,,Cote Rotie Landonne,Rhone,Red,1983,75cl,2,472.23,ex-VAT,Loose
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,2018,75cl,4,1888.92,ex-VAT,Loose
Altesino,,Brunello Montalcino,Tuscany,Red,2016,75cl,,28.3338,ex-VAT,OC
DRC,,Romanee Conti,Burgundy,Red,1998,75cl,6,16528.050000000003,ex-VAT,OWC
Joseph Drouhin,,Meursault Perrieres Blanc,Burgundy,White,2014,1.5L,3,419.76,ex-VAT,OWC
Moet & Chandon,,Dom Perignon Michael Riedel Rose,Champagne,Rosé,2004,75cl,21,356.796,ex-VAT,OC
Domaine Faiveley,,Latricieres Chambertin,Burgundy,Red,2019,75cl,24,199.38600000000002,ex-VAT,OWC
Henri Boillot,,Chevalier Montrachet Blanc,Burgundy,White,2019,75cl,6,865.7550000000001,ex-VAT,OWC
Henri Boillot,,Corton Charlemagne Blanc,Burgundy,White,2019,75cl,60,251.856,ex-VAT,OWC
Henri Boillot,,Corton Charlemagne Blanc,Burgundy,White,2019,75cl,12,251.856,ex-VAT,OWC
Henri Boillot,,Corton Charlemagne Blanc,Burgundy,White,2019,75cl,50,251.856,ex-VAT,OWC
Domaine Leroy,,Romanee Saint Vivant,Burgundy,Red,2001,75cl,2,6296.4,ex-VAT,Loose
Ramonet,,Montrachet,Burgundy,White,2018,75cl,12,3043.26,ex-VAT,Loose
Louis Roederer,,Cristal,Champagne,White,1990,1.5L,6,1888.92,ex-VAT,OC
Armand Rousseau,,Gevrey Chambertin Clos St Jacques,Burgundy,Red,2010,75cl,4,1731.5100000000002,ex-VAT,OC
Poggione,,Brunello Montalcino,Tuscany,Red,2016,75cl,,31.482,ex-VAT,OC
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,1999,75cl,12,5509.35,ex-VAT,OC
Le Pin,,,Bordeaux,Red,2002,1.5L,3,4459.95,ex-VAT,OWC
Philipponnat,,Clos des Goisses,Champagne,White,1996,1.5L,4,839.52,ex-VAT,Loose
Spottswoode,,Cabernet Sauvignon,California,Red,2018,75cl,78,141.66899999999998,ex-VAT,OC
Armand Rousseau,,Chambertin Clos De Beze,Burgundy,Red,2012,75cl,2,2046.33,ex-VAT,Loose
Uccelliera,,Brunello Montalcino,Tuscany,Red,2016,75cl,8,57.717,ex-VAT,OC
Comtes Lafon,,Meursault Goutte d'Or,Burgundy,White,1999,75cl,8,419.76,ex-VAT,Loose
Domaine Jean-Louis Chave,,Hermitage Blanc,Rhone,White,2018,75cl,12,288.585,ex-VAT,OC
Mongeard Mugneret,,Clos Vougeot,Burgundy,Red,2018,75cl,30,236.115,ex-VAT,OC
Krug,,Clos du Mesnil,Champagne,White,2004,1.5L,1,2518.56,ex-VAT,OC_OWC
Domaine Leflaive,,Bienvenues Batard Montrachet,Burgundy,White,2004,75cl,6,1469.16,ex-VAT,OWC
Philipponnat,,Clos des Goisses,Champagne,White,2009,1.5L,12,293.832,ex-VAT,OC
Philipponnat,,Clos des Goisses,Champagne,White,2009,1.5L,12,293.832,ex-VAT,GB_OC
Salon,,Mesnil,Champagne,White,2008,1.5L,1,4722.3,ex-VAT,Loose
Comte Vogue,,Musigny Vv,Burgundy,Red,2019,75cl,30,682.11,ex-VAT,OWC
Philipponnat,,Clos des Goisses,Champagne,White,2009,75cl,41,125.928,ex-VAT,OC
Bowmore,,30YO – 2020 release,Scotland,,1989,70cl,10,1416.69,ex-VAT,OC_OWC
Philipponnat,,Clos des Goisses,Champagne,White,2009,3L,2,629.64,ex-VAT,GB
Coche Dury,,Meursault Blanc,Burgundy,White,2019,75cl,12,787.05,ex-VAT,OC
Georges Roumier,,Bonnes Mares,Burgundy,Red,2018,75cl,1,1023.165,ex-VAT,Loose
Louis Roederer,,Cristal,Champagne,White,2013,75cl,17,188.89200000000002,ex-VAT,OC
Louis Roederer,,Cristal,Champagne,White,2013,75cl,42,188.89200000000002,ex-VAT,GB_OC
Domaine Dujac,,Vosne Romanee Beaumonts,Burgundy,Red,2018,75cl,12,367.29,ex-VAT,OC
Promontory,,Napa Blend,California,Red,2015,75cl,9,561.429,ex-VAT,OWC
Solaia,,,Tuscany,Red,2012,3L,1,891.99,ex-VAT,OWC
Domaine Dujac,,Clos Saint Denis,Burgundy,Red,2014,1.5L,3,1364.22,ex-VAT,OC
Casanova di Neri,,Brunello Montalcino Tenuta Nuova,Tuscany,Red,2016,75cl,6,62.964,ex-VAT,OC
DRC,,Romanee Conti,Burgundy,Red,1995,75cl,2,17315.1,ex-VAT,Loose
Bollinger,,Rd,Champagne,White,2007,75cl,30,136.42200000000003,ex-VAT,OC
Bollinger,,Rd,Champagne,White,2007,75cl,18,136.42200000000003,ex-VAT,OC_OWC
Bollinger,,Rd,Champagne,White,2007,1.5L,93,272.84400000000005,ex-VAT,OC
Bollinger,,Rd,Champagne,White,2007,1.5L,7,293.832,ex-VAT,OC_OWC
Mondavi,,Opus One,California,Red,1980,75cl,1,629.64,ex-VAT,Loose
Petrus,,,Bordeaux,Red,1979,3L,1,9182.25,ex-VAT,Loose
Domaine Dujac,,Chambertin,Burgundy,Red,2005,1.5L,2,5771.7,ex-VAT,Loose
Pierre Yves Colin Morey,,Chevalier Montrachet Blanc,Burgundy,White,2015,75cl,5,1154.34,ex-VAT,Loose
Pierre Yves Colin Morey,,Chevalier Montrachet Blanc,Burgundy,White,2015,75cl,2,1154.34,ex-VAT,Loose
Comte Vogue,,Bonnes Mares,Burgundy,Red,2009,75cl,24,524.6999999999999,ex-VAT,OWC
Guy Amiot,,Montrachet,Burgundy,White,2019,75cl,6,577.17,ex-VAT,OWC
Guy Amiot,,Montrachet,Burgundy,White,2019,75cl,3,577.17,ex-VAT,OC
Domaine William Fevre,,Chablis Clos,Burgundy,White,2018,75cl,60,89.199,ex-VAT,OWC
Domaine William Fevre,,Chablis Bougros Bouguerots,Burgundy,White,2018,75cl,77,68.21100000000001,ex-VAT,OWC
Domaine William Fevre,,Chablis Preuses,Burgundy,White,2018,75cl,66,65.0628,ex-VAT,OWC
Screaming Eagle,,Second Flight 2006-2009 Assortment,California,Red,NV,6L,1,6034.05,ex-VAT,OWC
Screaming Eagle,,The Flight,California,Red,2015,75cl,6,682.11,ex-VAT,OWC
Screaming Eagle,,The Flight,California,Red,2017,75cl,9,734.58,ex-VAT,OWC
Sine Qua Non,,Eleven Confessions,California,Red,2012,3L,1,2203.74,ex-VAT,OWC
Sine Qua Non,,Eleven Confessions,California,Red,2013,3L,1,2098.7999999999997,ex-VAT,OWC
Domaine Ponsot,,Clos Roche Vv,Burgundy,Red,1996,75cl,1,419.76,ex-VAT,Loose
Domaine Ponsot,,Clos Roche Vv,Burgundy,Red,1996,75cl,2,472.23,ex-VAT,Loose
Domaine Ponsot,,Clos Roche Vv,Burgundy,Red,1996,75cl,4,419.76,ex-VAT,Loose
Ootori,,15YO,Japan,,NV,70cl,4,445.995,ex-VAT,GB
Solaia,,,Tuscany,Red,2014,3L,3,996.9299999999998,ex-VAT,OWC
Deutz,,Cuvee William Deutz,Champagne,White,2008,75cl,20,115.434,ex-VAT,OC
Deutz,,Cuvee William Deutz,Champagne,White,2008,75cl,118,115.434,ex-VAT,GB_OC
Deutz,,Cuvee William Deutz,Champagne,White,2008,75cl,1,120.68100000000003,ex-VAT,GB
Screaming Eagle,,,California,Red,2014,75cl,2,2308.68,ex-VAT,Loose
Chateau de la Tour,,Clos Vougeot,Burgundy,Red,2019,75cl,9,131.17499999999998,ex-VAT,OC
Chateau de la Tour,,Clos Vougeot Vv,Burgundy,Red,2019,75cl,18,194.13899999999998,ex-VAT,OC
Chateau de la Tour,,Clos Vougeot Vv,Burgundy,Red,2019,75cl,60,199.38600000000002,ex-VAT,OWC
Chateau de la Tour,,Clos Vougeot Homage Jean Morin,Burgundy,Red,2019,75cl,6,524.6999999999999,ex-VAT,OC
DRC,,Echezeaux,Burgundy,Red,2005,3L,1,17315.1,ex-VAT,Loose
Sylvain Cathiard,,Romanee Saint Vivant,Burgundy,Red,2016,75cl,3,2361.15,ex-VAT,OWC
Argiano,,Solengo,Tuscany,Red,2019,75cl,96,31.482,ex-VAT,OC_OWC
d'Auvenay,,Meursault Chaumes Perrieres,Burgundy,White,2007,75cl,3,6821.1,ex-VAT,OWC
Clos Tart,,,Burgundy,Red,2019,75cl,6,472.23,ex-VAT,OWC
Palmer,,,Bordeaux,Red,1961,75cl,6,6296.4,ex-VAT,OWC
Palmer,,,Bordeaux,Red,1961,75cl,6,6296.4,ex-VAT,OWC
Domaine Leroy,,Latricieres Chambertin,Burgundy,Red,2007,75cl,1,3672.9,ex-VAT,OWC
DRC,,Montrachet,Burgundy,White,2004,75cl,3,7870.5,ex-VAT,OWC
Henri Boillot,,Montrachet,Burgundy,White,2013,75cl,6,1101.87,ex-VAT,OWC
Henri Boillot,,Montrachet,Burgundy,White,2014,75cl,12,1574.1,ex-VAT,OC
Billecart Salmon,,Nicolas Francois,Champagne,White,2006,1.5L,27,209.88,ex-VAT,OC
Billecart Salmon,,Nicolas Francois,Champagne,White,2006,1.5L,3,209.88,ex-VAT,OC_OWC
Billecart Salmon,,Nicolas Francois,Champagne,White,2007,75cl,86,94.44600000000001,ex-VAT,OC
Billecart Salmon,,Nicolas Francois,Champagne,White,2007,75cl,90,94.44600000000001,ex-VAT,GB_OC
Billecart Salmon,,Nicolas Francois,Champagne,White,2007,75cl,3,94.44600000000001,ex-VAT,OC
Billecart Salmon,,Nicolas Francois,Champagne,White,2007,75cl,1,94.44600000000001,ex-VAT,GB_OC
Lafite Rothschild,,,Bordeaux,Red,1982,1.5L,6,5194.53,ex-VAT,OWC
Lafite Rothschild,,,Bordeaux,Red,1982,1.5L,12,4669.83,ex-VAT,OWC
Pierre Yves Colin Morey,,Chevalier Montrachet Blanc,Burgundy,White,2018,75cl,1,1101.87,ex-VAT,Loose
Pierre Yves Colin Morey,,Chevalier Montrachet Blanc,Burgundy,White,2018,75cl,2,1101.87,ex-VAT,Loose
Pierre Girardin,,Meursault Les Narvaux,Burgundy,White,2019,75cl,6,104.94,ex-VAT,OC
Domaine Dujac,,Chambertin,Burgundy,Red,2015,75cl,6,2623.5,ex-VAT,OC
Domaine Dujac,,Chambertin,Burgundy,Red,2015,1.5L,3,5771.7,ex-VAT,OWC
Domaine Ponsot,,Chambertin,Burgundy,Red,2005,75cl,1,708.345,ex-VAT,Loose
Harlan Estate,,,California,Red,2010,75cl,5,1154.34,ex-VAT,Loose
Harlan Estate,,,California,Red,2007,75cl,1,1259.28,ex-VAT,Loose
Arnoux Lachaux,,Nuits Saint Georges Proces,Burgundy,Red,2010,75cl,24,288.585,ex-VAT,OC
Arnoux Lachaux,,Nuits Saint Georges Clos Corvees Pagets,Burgundy,Red,2014,75cl,30,288.585,ex-VAT,OC
Arnoux Lachaux,,Latricieres Chambertin,Burgundy,Red,2014,75cl,12,472.23,ex-VAT,OC
Cheval Blanc,,,Bordeaux,Red,1937,75cl,1,996.9299999999998,ex-VAT,Loose
Marquis d'Angerville,,Volnay Clos Ducs,Burgundy,Red,2016,75cl,60,199.38600000000002,ex-VAT,OWC
Marquis d'Angerville,,Volnay Champans,Burgundy,Red,2017,75cl,36,83.952,ex-VAT,OC
Clos Tart,,,Burgundy,Red,2019,1.5L,3,1049.3999999999999,ex-VAT,OC_OWC
Clos Tart,,,Burgundy,Red,2019,3L,1,2046.33,ex-VAT,OWC
Denis Bachelet,,Charmes Chambertin Vv,Burgundy,Red,2010,75cl,12,839.52,ex-VAT,OC
Denis Bachelet,,Charmes Chambertin Vv,Burgundy,Red,2012,75cl,6,629.64,ex-VAT,OC
